timestamp,open,high,low,close,volume
2024-01-01 00:00:00,2000.50,2001.20,2000.30,2000.80,1500
2024-01-01 00:01:00,2000.80,2002.10,2000.70,2001.90,1800
2024-01-01 00:02:00,2001.90,2003.50,2001.80,2003.20,2200
2024-01-01 00:03:00,2003.20,2004.80,2003.10,2004.50,2500
2024-01-01 00:04:00,2004.50,2005.90,2004.40,2005.60,2800
2024-01-01 00:05:00,2005.60,2006.70,2005.50,2006.30,3000
2024-01-01 00:06:00,2006.30,2007.20,2006.20,2006.90,3200
2024-01-01 00:07:00,2006.90,2007.80,2006.80,2007.50,3500
2024-01-01 00:08:00,2007.50,2008.40,2007.40,2008.10,3800
2024-01-01 00:09:00,2008.10,2009.20,2008.00,2008.90,4000
2024-01-01 00:10:00,2008.90,2009.80,2008.80,2009.50,4200
2024-01-01 00:11:00,2009.50,2010.40,2009.40,2010.10,4500
2024-01-01 00:12:00,2010.10,2011.20,2010.00,2010.80,4800
2024-01-01 00:13:00,2010.80,2011.70,2010.70,2011.40,5000
2024-01-01 00:14:00,2011.40,2012.30,2011.30,2012.00,5200
2024-01-01 00:15:00,2012.00,2012.90,2011.90,2012.60,5500
2024-01-01 00:16:00,2012.60,2013.50,2012.50,2013.20,5800
2024-01-01 00:17:00,2013.20,2014.10,2013.10,2013.80,6000
2024-01-01 00:18:00,2013.80,2014.70,2013.70,2014.40,6200
2024-01-01 00:19:00,2014.40,2015.30,2014.30,2015.00,6500
2024-01-01 00:20:00,2015.00,2015.90,2014.90,2015.60,6800
2024-01-01 00:21:00,2015.60,2016.50,2015.50,2016.20,7000
2024-01-01 00:22:00,2016.20,2017.10,2016.10,2016.80,7200
2024-01-01 00:23:00,2016.80,2017.70,2016.70,2017.40,7500
2024-01-01 00:24:00,2017.40,2018.30,2017.30,2018.00,7800
2024-01-01 00:25:00,2018.00,2018.90,2017.90,2018.60,8000
2024-01-01 00:26:00,2018.60,2019.50,2018.50,2019.20,8200
2024-01-01 00:27:00,2019.20,2020.10,2019.10,2019.80,8500
2024-01-01 00:28:00,2019.80,2020.70,2019.70,2020.40,8800
2024-01-01 00:29:00,2020.40,2021.30,2020.30,2021.00,9000
2024-01-01 00:30:00,2021.00,2021.90,2020.90,2021.60,9200
2024-01-01 00:31:00,2021.60,2022.50,2021.50,2022.20,9500
2024-01-01 00:32:00,2022.20,2023.10,2022.10,2022.80,9800
2024-01-01 00:33:00,2022.80,2023.70,2022.70,2023.40,10000
2024-01-01 00:34:00,2023.40,2024.30,2023.30,2024.00,10200
2024-01-01 00:35:00,2024.00,2024.90,2023.90,2024.60,10500
2024-01-01 00:36:00,2024.60,2025.50,2024.50,2025.20,10800
2024-01-01 00:37:00,2025.20,2026.10,2025.10,2025.80,11000
2024-01-01 00:38:00,2025.80,2026.70,2025.70,2026.40,11200
2024-01-01 00:39:00,2026.40,2027.30,2026.30,2027.00,11500
2024-01-01 00:40:00,2027.00,2027.90,2026.90,2027.60,11800
2024-01-01 00:41:00,2027.60,2028.50,2027.50,2028.20,12000
2024-01-01 00:42:00,2028.20,2029.10,2028.10,2028.80,12200
2024-01-01 00:43:00,2028.80,2029.70,2028.70,2029.40,12500
2024-01-01 00:44:00,2029.40,2030.30,2029.30,2030.00,12800
2024-01-01 00:45:00,2030.00,2030.90,2029.90,2030.60,13000
2024-01-01 00:46:00,2030.60,2031.50,2030.50,2031.20,13200
2024-01-01 00:47:00,2031.20,2032.10,2031.10,2031.80,13500
2024-01-01 00:48:00,2031.80,2032.70,2031.70,2032.40,13800
2024-01-01 00:49:00,2032.40,2033.30,2032.30,2033.00,14000
2024-01-01 00:50:00,2033.00,2033.90,2032.90,2033.60,14200
2024-01-01 00:51:00,2033.60,2034.50,2033.50,2034.20,14500
2024-01-01 00:52:00,2034.20,2035.10,2034.10,2034.80,14800
2024-01-01 00:53:00,2034.80,2035.70,2034.70,2035.40,15000
2024-01-01 00:54:00,2035.40,2036.30,2035.30,2036.00,15200
2024-01-01 00:55:00,2036.00,2036.90,2035.90,2036.60,15500
2024-01-01 00:56:00,2036.60,2037.50,2036.50,2037.20,15800
2024-01-01 00:57:00,2037.20,2038.10,2037.10,2037.80,16000
2024-01-01 00:58:00,2037.80,2038.70,2037.70,2038.40,16200
2024-01-01 00:59:00,2038.40,2039.30,2038.30,2039.00,16500
